date,donations,is_weekend,is_month_start,is_month_end,day_name_Friday,day_name_Monday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday
2006-01-01,218,True,True,False,False,False,False,True,False,False,False
2006-01-02,89,False,False,False,False,True,False,False,False,False,False
2006-01-03,51,False,False,False,False,False,False,False,False,True,False
2006-01-04,290,False,False,False,False,False,False,False,False,False,True
2006-01-05,271,False,False,False,False,False,False,False,True,False,False
2006-01-06,201,False,False,False,True,False,False,False,False,False,False
2006-01-07,113,True,False,False,False,False,True,False,False,False,False
2006-01-08,480,True,False,False,False,False,False,True,False,False,False
2006-01-09,301,False,False,False,False,True,False,False,False,False,False
2006-01-10,0,False,False,False,False,False,False,False,False,True,False
2006-01-11,426,False,False,False,False,False,False,False,False,False,True
2006-01-12,721,False,False,False,False,False,False,False,True,False,False
2006-01-13,185,False,False,False,True,False,False,False,False,False,False
2006-01-14,299,True,False,False,False,False,True,False,False,False,False
2006-01-15,321,True,False,False,False,False,False,True,False,False,False
2006-01-16,389,False,False,False,False,True,False,False,False,False,False
2006-01-17,771,False,False,False,False,False,False,False,False,True,False
2006-01-18,711,False,False,False,False,False,False,False,False,False,True
2006-01-19,733,False,False,False,False,False,False,False,True,False,False
2006-01-20,504,False,False,False,True,False,False,False,False,False,False
2006-01-21,304,True,False,False,False,False,True,False,False,False,False
2006-01-22,373,True,False,False,False,False,False,True,False,False,False
2006-01-23,284,False,False,False,False,True,False,False,False,False,False
2006-01-24,333,False,False,False,False,False,False,False,False,True,False
2006-01-25,618,False,False,False,False,False,False,False,False,False,True
2006-01-26,538,False,False,False,False,False,False,False,True,False,False
2006-01-27,72,False,False,False,True,False,False,False,False,False,False
2006-01-28,62,True,False,False,False,False,True,False,False,False,False
2006-01-29,0,True,False,False,False,False,False,True,False,False,False
2006-01-30,40,False,False,False,False,True,False,False,False,False,False
2006-01-31,77,False,False,True,False,False,False,False,False,True,False
2006-02-01,116,False,True,False,False,False,False,False,False,False,True
2006-02-02,121,False,False,False,False,False,False,False,True,False,False
2006-02-03,162,False,False,False,True,False,False,False,False,False,False
2006-02-04,178,True,False,False,False,False,True,False,False,False,False
2006-02-05,0,True,False,False,False,False,False,True,False,False,False
2006-02-06,420,False,False,False,False,True,False,False,False,False,False
2006-02-07,497,False,False,False,False,False,False,False,False,True,False
2006-02-08,1015,False,False,False,False,False,False,False,False,False,True
2006-02-09,490,False,False,False,False,False,False,False,True,False,False
2006-02-10,743,False,False,False,True,False,False,False,False,False,False
2006-02-11,1822,True,False,False,False,False,True,False,False,False,False
2006-02-12,146,True,False,False,False,False,False,True,False,False,False
2006-02-13,55,False,False,False,False,True,False,False,False,False,False
2006-02-14,188,False,False,False,False,False,False,False,False,True,False
2006-02-15,557,False,False,False,False,False,False,False,False,False,True
2006-02-16,429,False,False,False,False,False,False,False,True,False,False
2006-02-17,76,False,False,False,True,False,False,False,False,False,False
2006-02-18,802,True,False,False,False,False,True,False,False,False,False
2006-02-19,23,True,False,False,False,False,False,True,False,False,False
2006-02-20,269,False,False,False,False,True,False,False,False,False,False
2006-02-21,856,False,False,False,False,False,False,False,False,True,False
2006-02-22,669,False,False,False,False,False,False,False,False,False,True
2006-02-23,416,False,False,False,False,False,False,False,True,False,False
2006-02-24,477,False,False,False,True,False,False,False,False,False,False
2006-02-25,261,True,False,False,False,False,True,False,False,False,False
2006-02-26,92,True,False,False,False,False,False,True,False,False,False
2006-02-27,488,False,False,False,False,True,False,False,False,False,False
2006-02-28,457,False,False,True,False,False,False,False,False,True,False
2006-03-01,537,False,True,False,False,False,False,False,False,False,True
2006-03-02,762,False,False,False,False,False,False,False,True,False,False
2006-03-03,411,False,False,False,True,False,False,False,False,False,False
2006-03-04,220,True,False,False,False,False,True,False,False,False,False
2006-03-05,743,True,False,False,False,False,False,True,False,False,False
2006-03-06,291,False,False,False,False,True,False,False,False,False,False
2006-03-07,405,False,False,False,False,False,False,False,False,True,False
2006-03-08,709,False,False,False,False,False,False,False,False,False,True
2006-03-09,451,False,False,False,False,False,False,False,True,False,False
2006-03-10,294,False,False,False,True,False,False,False,False,False,False
2006-03-11,198,True,False,False,False,False,True,False,False,False,False
2006-03-12,201,True,False,False,False,False,False,True,False,False,False
2006-03-13,198,False,False,False,False,True,False,False,False,False,False
2006-03-14,335,False,False,False,False,False,False,False,False,True,False
2006-03-15,281,False,False,False,False,False,False,False,False,False,True
2006-03-16,694,False,False,False,False,False,False,False,True,False,False
2006-03-17,255,False,False,False,True,False,False,False,False,False,False
2006-03-18,196,True,False,False,False,False,True,False,False,False,False
2006-03-19,590,True,False,False,False,False,False,True,False,False,False
2006-03-20,181,False,False,False,False,True,False,False,False,False,False
2006-03-21,596,False,False,False,False,False,False,False,False,True,False
2006-03-22,503,False,False,False,False,False,False,False,False,False,True
2006-03-23,336,False,False,False,False,False,False,False,True,False,False
2006-03-24,261,False,False,False,True,False,False,False,False,False,False
2006-03-25,554,True,False,False,False,False,True,False,False,False,False
2006-03-26,148,True,False,False,False,False,False,True,False,False,False
2006-03-27,485,False,False,False,False,True,False,False,False,False,False
2006-03-28,688,False,False,False,False,False,False,False,False,True,False
2006-03-29,1086,False,False,False,False,False,False,False,False,False,True
2006-03-30,925,False,False,False,False,False,False,False,True,False,False
2006-03-31,411,False,False,True,True,False,False,False,False,False,False
2006-04-01,377,True,True,False,False,False,True,False,False,False,False
2006-04-02,266,True,False,False,False,False,False,True,False,False,False
2006-04-03,100,False,False,False,False,True,False,False,False,False,False
2006-04-04,594,False,False,False,False,False,False,False,False,True,False
2006-04-05,236,False,False,False,False,False,False,False,False,False,True
2006-04-06,155,False,False,False,False,False,False,False,True,False,False
2006-04-07,83,False,False,False,True,False,False,False,False,False,False
2006-04-08,259,True,False,False,False,False,True,False,False,False,False
2006-04-09,731,True,False,False,False,False,False,True,False,False,False
2006-04-10,141,False,False,False,False,True,False,False,False,False,False
2006-04-11,317,False,False,False,False,False,False,False,False,True,False
2006-04-12,264,False,False,False,False,False,False,False,False,False,True
2006-04-13,418,False,False,False,False,False,False,False,True,False,False
2006-04-14,423,False,False,False,True,False,False,False,False,False,False
2006-04-15,53,True,False,False,False,False,True,False,False,False,False
2006-04-16,93,True,False,False,False,False,False,True,False,False,False
2006-04-17,177,False,False,False,False,True,False,False,False,False,False
2006-04-18,214,False,False,False,False,False,False,False,False,True,False
2006-04-19,494,False,False,False,False,False,False,False,False,False,True
2006-04-20,454,False,False,False,False,False,False,False,True,False,False
2006-04-21,161,False,False,False,True,False,False,False,False,False,False
2006-04-22,441,True,False,False,False,False,True,False,False,False,False
2006-04-23,432,True,False,False,False,False,False,True,False,False,False
2006-04-24,81,False,False,False,False,True,False,False,False,False,False
2006-04-25,106,False,False,False,False,False,False,False,False,True,False
2006-04-26,579,False,False,False,False,False,False,False,False,False,True
2006-04-27,409,False,False,False,False,False,False,False,True,False,False
2006-04-28,203,False,False,False,True,False,False,False,False,False,False
2006-04-29,263,True,False,False,False,False,True,False,False,False,False
